paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
156,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,31.622776601683793
157,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,177.82794100389228
158,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,1000.0
159,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,5623.413251903491
160,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,31622.776601683792
161,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,177827.94100389228
162,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,1000000.0
163,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,1.0
164,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,5.623413251903491
165,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,31.622776601683793
166,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,177.82794100389228
167,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,1000.0
168,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,5623.413251903491
169,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,31622.776601683792
170,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,177827.94100389228
171,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1.0,1000000.0
172,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,1.0
173,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,5.623413251903491
174,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,31.622776601683793
175,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,177.82794100389228
176,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,1000.0
177,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,5623.413251903491
178,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,31622.776601683792
179,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,177827.94100389228
180,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5.623413251903491,1000000.0
181,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,1.0
182,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,5.623413251903491
183,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,31.622776601683793
184,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,177.82794100389228
185,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,1000.0
186,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,5623.413251903491
187,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,31622.776601683792
188,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,177827.94100389228
189,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31.622776601683793,1000000.0
190,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,1.0
191,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,5.623413251903491
192,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,31.622776601683793
193,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,177.82794100389228
194,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,1000.0
195,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,5623.413251903491
196,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,31622.776601683792
197,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,177827.94100389228
198,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,177.82794100389228,1000000.0
199,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,1.0
200,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,5.623413251903491
201,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,31.622776601683793
202,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,177.82794100389228
203,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,1000.0
204,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,5623.413251903491
205,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,31622.776601683792
206,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,177827.94100389228
207,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,1000.0,1000000.0
208,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,1.0
209,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,5.623413251903491
210,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,31.622776601683793
211,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,177.82794100389228
212,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,1000.0
213,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,5623.413251903491
214,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,31622.776601683792
215,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,177827.94100389228
216,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,5623.413251903491,1000000.0
217,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31622.776601683792,1.0
218,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31622.776601683792,5.623413251903491
219,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,31.622776601683793,31622.776601683792,31.622776601683793
